Date,Open,High,Low,Close*,Adj Close**,SPY Return,Volume
24-Feb-83,146.8,149.67,146.8,149.6,149.6,1.914%,"113,220,000"
25-Feb-83,149.6,150.88,149.6,149.74,149.74,0.094%,"100,970,000"
28-Feb-83,149.74,149.74,147.81,148.06,148.06,-1.122%,"83,750,000"
1-Mar-83,148.07,150.88,148.07,150.88,150.88,1.905%,"103,750,000"
2-Mar-83,150.91,152.63,150.91,152.3,152.3,0.941%,"112,600,000"
3-Mar-83,152.31,154.16,152.31,153.48,153.48,0.775%,"114,440,000"
4-Mar-83,153.47,153.67,152.53,153.67,153.67,0.124%,"90,930,000"
7-Mar-83,153.67,154,152.65,153.67,153.67,0.000%,"84,020,000"
8-Mar-83,153.63,153.63,151.26,151.26,151.26,-1.568%,"79,410,000"
9-Mar-83,151.25,152.87,150.84,152.87,152.87,1.064%,"84,250,000"
10-Mar-83,152.87,154.01,151.75,151.8,151.8,-0.700%,"95,410,000"
11-Mar-83,151.75,151.75,150.65,151.24,151.24,-0.369%,"67,240,000"
14-Mar-83,151.28,151.3,150.24,150.83,150.83,-0.271%,"61,890,000"
15-Mar-83,150.83,151.37,150.4,151.37,151.37,0.358%,"62,410,000"
16-Mar-83,151.36,151.62,149.78,149.81,149.81,-1.031%,"83,570,000"
17-Mar-83,149.8,149.8,149.12,149.59,149.59,-0.147%,"70,290,000"
18-Mar-83,149.59,150.29,149.56,149.9,149.9,0.207%,"75,110,000"
21-Mar-83,149.82,151.2,149.32,151.19,151.19,0.861%,"72,160,000"
22-Mar-83,151.21,151.59,150.6,150.66,150.66,-0.351%,"79,610,000"
23-Mar-83,150.65,152.98,150.65,152.81,152.81,1.427%,"94,980,000"
24-Mar-83,152.82,153.78,152.82,153.37,153.37,0.366%,"92,340,000"
25-Mar-83,153.37,153.71,152.3,152.67,152.67,-0.456%,"77,330,000"
28-Mar-83,152.67,152.67,151.56,151.85,151.85,-0.537%,"58,510,000"
29-Mar-83,151.85,152.46,151.42,151.59,151.59,-0.171%,"65,300,000"
30-Mar-83,151.6,153.39,151.6,153.39,153.39,1.187%,"75,800,000"
31-Mar-83,153.41,155.02,152.86,152.96,152.96,-0.280%,"100,570,000"
4-Apr-83,152.92,153.02,152.23,153.02,153.02,0.039%,"66,010,000"
5-Apr-83,153.04,153.92,151.81,151.9,151.9,-0.732%,"76,810,000"
6-Apr-83,151.9,151.9,150.17,151.04,151.04,-0.566%,"77,140,000"
7-Apr-83,151.04,151.76,150.81,151.76,151.76,0.477%,"69,480,000"
8-Apr-83,151.77,152.85,151.39,152.85,152.85,0.718%,"67,710,000"
11-Apr-83,152.87,155.14,152.87,155.14,155.14,1.498%,"81,440,000"
12-Apr-83,155.15,155.82,154.78,155.82,155.82,0.438%,"79,900,000"
13-Apr-83,155.82,157.22,155.82,156.77,156.77,0.610%,"100,520,000"
14-Apr-83,156.8,158.12,156.55,158.12,158.12,0.861%,"90,160,000"
15-Apr-83,158.11,158.75,158.11,158.75,158.75,0.398%,"89,590,000"
18-Apr-83,158.75,159.75,158.41,159.74,159.74,0.624%,"88,560,000"
19-Apr-83,159.74,159.74,158.54,158.71,158.71,-0.645%,"91,210,000"
20-Apr-83,158.71,160.83,158.71,160.71,160.71,1.260%,"110,240,000"
21-Apr-83,160.73,161.08,159.96,160.05,160.05,-0.411%,"106,170,000"
22-Apr-83,160.04,160.76,160.02,160.42,160.42,0.231%,"92,270,000"
25-Apr-83,160.43,160.83,158.72,158.81,158.81,-1.004%,"90,150,000"
26-Apr-83,158.81,161.81,158.07,161.81,161.81,1.889%,"91,210,000"
27-Apr-83,161.85,162.77,160.76,161.44,161.44,-0.229%,"118,140,000"
28-Apr-83,161.44,162.96,161.44,162.95,162.95,0.935%,"94,410,000"
29-Apr-83,162.97,164.43,162.72,164.43,164.43,0.908%,"105,750,000"
2-May-83,164.41,164.42,161.99,162.11,162.11,-1.411%,"88,170,000"
3-May-83,162.1,162.35,160.8,162.34,162.34,0.142%,"89,550,000"
4-May-83,162.38,163.64,162.38,163.31,163.31,0.598%,"101,690,000"
5-May-83,163.35,164.3,163.35,164.28,164.28,0.594%,"107,860,000"
6-May-83,164.3,166.99,164.3,166.1,166.1,1.108%,"128,200,000"
9-May-83,166.1,166.46,164.9,165.81,165.81,-0.175%,"93,670,000"
10-May-83,165.82,166.4,165.74,165.95,165.95,0.084%,"104,010,000"
11-May-83,165.95,166.3,164.53,164.96,164.96,-0.597%,"99,820,000"
12-May-83,164.98,165.35,163.82,164.25,164.25,-0.430%,"84,060,000"
13-May-83,164.26,165.23,164.26,164.91,164.91,0.402%,"83,110,000"
16-May-83,164.9,164.9,162.33,163.4,163.4,-0.916%,"76,250,000"
17-May-83,163.4,163.71,162.55,163.71,163.71,0.190%,"79,510,000"
18-May-83,163.73,165.18,163.16,163.27,163.27,-0.269%,"99,780,000"
19-May-83,163.27,163.61,161.98,161.99,161.99,-0.784%,"83,260,000"
20-May-83,161.97,162.14,161.25,162.14,162.14,0.093%,"73,150,000"
23-May-83,162.06,163.5,160.29,163.43,163.43,0.796%,"84,960,000"
24-May-83,163.45,165.59,163.45,165.54,165.54,1.291%,"109,850,000"
25-May-83,165.54,166.21,164.79,166.21,166.21,0.405%,"121,050,000"
26-May-83,166.22,166.39,165.27,165.48,165.48,-0.439%,"94,980,000"
27-May-83,165.49,165.49,164.33,164.46,164.46,-0.616%,"76,290,000"
31-May-83,164.44,164.44,162.12,162.39,162.39,-1.259%,"73,910,000"
1-Jun-83,162.38,162.64,161.33,162.55,162.55,0.099%,"84,460,000"
2-Jun-83,162.56,164,162.56,163.98,163.98,0.880%,"89,750,000"
3-Jun-83,163.96,164.79,163.96,164.42,164.42,0.268%,"83,110,000"
6-Jun-83,164.43,165.09,163.75,164.83,164.83,0.249%,"87,670,000"
7-Jun-83,164.84,164.93,162.77,162.77,162.77,-1.250%,"88,550,000"
8-Jun-83,162.78,162.78,161.35,161.36,161.36,-0.866%,"96,600,000"
9-Jun-83,161.37,161.92,160.8,161.83,161.83,0.291%,"87,440,000"
10-Jun-83,161.86,162.76,161.86,162.68,162.68,0.525%,"78,470,000"
13-Jun-83,162.7,164.84,162.7,164.84,164.84,1.328%,"90,700,000"
14-Jun-83,164.87,165.93,164.87,165.53,165.53,0.419%,"97,710,000"
15-Jun-83,165.52,167.12,165.07,167.12,167.12,0.961%,"93,410,000"
16-Jun-83,167.11,169.38,167.11,169.14,169.14,1.209%,"124,560,000"
17-Jun-83,169.11,169.64,168.6,169.13,169.13,-0.006%,"93,630,000"
20-Jun-83,169.13,170.1,168.59,169.02,169.02,-0.065%,"84,270,000"
21-Jun-83,169.03,170.6,168.25,170.53,170.53,0.893%,"102,880,000"
22-Jun-83,170.53,171.6,170.42,170.99,170.99,0.270%,"110,270,000"
23-Jun-83,170.99,171,170.13,170.57,170.57,-0.246%,"89,590,000"
24-Jun-83,170.57,170.69,170.03,170.41,170.41,-0.094%,"80,810,000"
27-Jun-83,170.4,170.46,168.32,168.46,168.46,-1.144%,"69,360,000"
28-Jun-83,168.45,168.81,165.67,165.68,165.68,-1.650%,"82,730,000"
29-Jun-83,165.78,166.64,165.43,166.64,166.64,0.579%,"81,580,000"
30-Jun-83,167.64,167.64,167.64,167.64,167.64,0.600%,"76,310,000"
1-Jul-83,168.11,168.64,167.77,168.64,168.64,0.597%,"65,110,000"
5-Jul-83,166.55,168.8,165.8,166.6,166.6,-1.210%,"67,320,000"
6-Jul-83,166.71,168.88,166.49,168.48,168.48,1.128%,"85,670,000"
7-Jul-83,168.48,169.15,167.08,167.56,167.56,-0.546%,"97,130,000"
8-Jul-83,167.56,167.98,166.95,167.08,167.08,-0.286%,"66,520,000"
11-Jul-83,167.09,168.11,167.09,168.11,168.11,0.616%,"61,610,000"
12-Jul-83,168.05,168.05,165.51,165.53,165.53,-1.535%,"70,220,000"
13-Jul-83,165,165.68,164.77,165.46,165.46,-0.042%,"68,900,000"
14-Jul-83,165.61,166.96,165.61,166.01,166.01,0.332%,"83,500,000"
15-Jul-83,166.01,166.04,164.03,164.29,164.29,-1.036%,"63,160,000"
18-Jul-83,164.28,164.29,163.3,163.95,163.95,-0.207%,"69,110,000"
19-Jul-83,163.95,165.18,163.95,164.82,164.82,0.531%,"74,030,000"
20-Jul-83,164.89,169.29,164.89,169.29,169.29,2.712%,"109,310,000"
21-Jul-83,169.29,169.8,168.33,169.06,169.06,-0.136%,"101,830,000"
22-Jul-83,168.51,169.08,168.4,168.89,168.89,-0.101%,"68,850,000"
25-Jul-83,167.67,169.74,167.63,169.53,169.53,0.379%,"73,680,000"
26-Jul-83,169.62,170.63,169.26,170.53,170.53,0.590%,"91,280,000"
27-Jul-83,170.68,170.72,167.49,167.59,167.59,-1.724%,"99,290,000"
28-Jul-83,167.32,167.79,164.99,165.04,165.04,-1.522%,"78,410,000"
29-Jul-83,165.03,165.03,161.5,162.56,162.56,-1.503%,"95,240,000"
1-Aug-83,162.34,162.78,161.55,162.04,162.04,-0.320%,"77,210,000"
2-Aug-83,162.06,163.04,161.97,162.01,162.01,-0.019%,"74,460,000"
3-Aug-83,162.01,163.44,161.52,163.44,163.44,0.883%,"80,370,000"
4-Aug-83,163.28,163.42,159.63,161.33,161.33,-1.291%,"100,870,000"
5-Aug-83,161.33,161.88,160.89,161.74,161.74,0.254%,"67,850,000"
8-Aug-83,161.73,161.73,159.18,159.18,159.18,-1.583%,"71,460,000"
9-Aug-83,159.2,160.14,158.5,160.13,160.13,0.597%,"81,420,000"
10-Aug-83,160.11,161.77,159.47,161.54,161.54,0.881%,"82,900,000"
11-Aug-83,161.55,162.14,161.41,161.54,161.54,0.000%,"70,630,000"
12-Aug-83,161.55,162.6,161.55,162.16,162.16,0.384%,"71,840,000"
15-Aug-83,162.22,164.76,162.22,163.7,163.7,0.950%,"83,200,000"
16-Aug-83,163.74,163.84,162.72,163.41,163.41,-0.177%,"71,780,000"
17-Aug-83,163.58,165.4,163.43,165.29,165.29,1.150%,"87,800,000"
18-Aug-83,165.29,165.91,163.55,163.55,163.55,-1.053%,"82,280,000"
19-Aug-83,163.58,164.27,163.22,163.98,163.98,0.263%,"58,950,000"
22-Aug-83,164.18,165.64,163.77,164.34,164.34,0.220%,"76,420,000"
23-Aug-83,164.33,164.33,162.54,162.77,162.77,-0.955%,"66,800,000"
24-Aug-83,162.77,162.77,161.2,161.25,161.25,-0.934%,"72,200,000"
25-Aug-83,161.27,161.28,159.96,160.84,160.84,-0.254%,"70,140,000"
26-Aug-83,160.85,162.16,160.25,162.14,162.14,0.808%,"61,650,000"
29-Aug-83,162.14,162.32,160.97,162.25,162.25,0.068%,"53,030,000"
30-Aug-83,162.25,163.13,162.11,162.58,162.58,0.203%,"62,370,000"
31-Aug-83,162.55,164.4,162.32,164.4,164.4,1.119%,"80,800,000"
1-Sep-83,164.4,164.66,163.95,164.23,164.23,-0.103%,"76,120,000"
2-Sep-83,164.25,165.07,164.21,165,165,0.469%,"59,300,000"
6-Sep-83,165.2,167.9,165.03,167.89,167.89,1.752%,"87,500,000"
7-Sep-83,167.9,168.48,167.46,167.96,167.96,0.042%,"94,240,000"
8-Sep-83,167.96,168.14,167.12,167.77,167.77,-0.113%,"79,250,000"
9-Sep-83,167.77,167.77,166.91,166.92,166.92,-0.507%,"77,990,000"
12-Sep-83,166.95,169.2,165.27,165.48,165.48,-0.863%,"114,020,000"
13-Sep-83,165.48,165.48,164.17,164.8,164.8,-0.411%,"73,970,000"
14-Sep-83,164.8,165.42,164.63,165.35,165.35,0.334%,"73,370,000"
15-Sep-83,165.39,165.58,164.38,164.38,164.38,-0.587%,"70,420,000"
16-Sep-83,164.42,166.57,164.39,166.25,166.25,1.138%,"75,530,000"
19-Sep-83,166.27,168.09,166.26,167.62,167.62,0.824%,"85,630,000"
20-Sep-83,167.64,169.38,167.64,169.24,169.24,0.966%,"103,050,000"
21-Sep-83,169.27,169.3,168.21,168.41,168.41,-0.490%,"91,280,000"
22-Sep-83,168.4,169.78,168.22,169.76,169.76,0.802%,"97,050,000"
23-Sep-83,169.76,170.17,168.88,169.51,169.51,-0.147%,"93,180,000"
26-Sep-83,169.53,170.41,169.16,170.07,170.07,0.330%,"86,400,000"
27-Sep-83,170.02,170.02,167.95,168.43,168.43,-0.964%,"81,100,000"
